Card UID,Time,Is Authorized
 0x23 0xDB 0x20 0x11,20:01,False
 0x23 0xDB 0x20 0x11,20:01,False
 0xA3 0xB7 0x6B 0x9F,20:01,False
 0x50 0x4B 0xB0 0x42,20:01,False
 0xF3 0xF 0x26 0xF,20:01,True
 0xF3 0xF 0x26 0xF,20:12,True
 0x23 0xDB 0x20 0x11,20:19,False
 0x23 0xDB 0x20 0x11,20:21,False
 0x50 0x4B 0xB0 0x42,20:23,False
 0x23 0xDB 0x20 0x11,20:37,False
 0x23 0xDB 0x20 0x11,20:43,False
 0x23 0xDB 0x20 0x11,20:44,False
 0x23 0xDB 0x20 0x11,20:44,False
 0x50 0x4B 0xB0 0x42,21:25,False
 0x50 0x4B 0xB0 0x42,21:37,False
 0x50 0x4B 0xB0 0x42,21:38,False
 0x50 0x4B 0xB0 0x42,21:38,False
 0x50 0x4B 0xB0 0x42,21:39,False
 0xF3 0xF 0x26 0xF,21:39,True
 0x50 0x4B 0xB0 0x42,21:46,False
 0xF3 0xF 0x26 0xF,21:46,True
 0x50 0x4B 0xB0 0x42,21:46,False
 0x50 0x4B 0xB0 0x42,21:46,False
 0x50 0x4B 0xB0 0x42,21:46,False
 0xF3 0xF 0x26 0xF,21:53,True
 0x50 0x4B 0xB0 0x42,22:08,False
 0x50 0x4B 0xB0 0x42,22:14,False
 0x50 0x4B 0xB0 0x42,22:14,False
 0x50 0x4B 0xB0 0x42,22:18,False
 0x50 0x4B 0xB0 0x42,22:19,False
 0x23 0xDB 0x20 0x11,22:19,False
 0xF3 0xF 0x26 0xF,22:19,True
 0x23 0xDB 0x20 0x11,22:22,False
 0x23 0xDB 0x20 0x11,22:23,False
 0x50 0x4B 0xB0 0x42,22:25,False
 0x50 0x4B 0xB0 0x42,22:25,False
